Entidad,Tablas en Etendo (BD),Entidad API,Notas de mapeo,,,,,
VILLA Y ESTRUCTURA FÍSICA,,,,,,,,
Villa,"obre_resource: tabla principal (código, nombre, activa, url)
ov_tipovilla: clasificación y tipo de villa
opxdes_ficha_tecnica: equipamiento detallado
ov_propietario: propietario de la villa
ov_villaprop: relación villa-propietario (copropiedad)
c_bpartner_location: dirección física","OBRE_Resource
OV_Tipovilla
opxdes_ficha_tecnica
OV_Propietario
Location","Una villa del nuevo modelo se construye uniendo estas seis tablas mediante JOIN en la ingesta. obre_resource es la tabla raíz, el resto se vinculan por su ID.",,,,,
Planta,"ov_plantas: número de planta, descripción, jacuzzi, sauna
obre_resource (FK): vinculación a la villa","OV_Plantas
OBRE_Resource",Una fila por planta de cada villa.,,cambiar a tipo tabla ,,,mirar los que son de tipo view y cambiarlos a tipo tabla 
"Estancia (Salón, Cocina, Dormitorio)","ov_salon: sofá, sofácama, comedor, TV, cortinas
ov_cocina: tipo fuego, lavavajillas, frigorífico, horno
ov_dormitorios: tipo cama, baño en suite, armario
obre_resource (FK): vinculación a la villa","OV_Salon
OV_Cocinas
OV_Dormitorios
OBRE_Resource","Tres tablas físicas separadas en Etendo. Al ingestar se unifican en la entidad Estancia con un campo tipo que distingue entre salón, cocina y dormitorio.",,,,,cambiar los valores duplicados 
Baño,"ov_banios: ducha, bañeraJacuzzi, lavabo, wc, enSuite, secador
obre_resource (FK): vinculación a la villa","OV_Banios
OBRE_Resource",Vinculada al dormitorio correspondiente cuando enSuite es true.,,,,,mirar porque hay dos Banios 
Alarma,"ov_alarmas: código, activación, desactivación, anotaciones",Ov_Alarmas (0 filas),Tabla propia confirmada en BD. La prueba contra la API devuelve 0 filas — revisar si hay datos o si el filtro de organización excluye esta tabla.,,,,,
ContratoSeguro y CompañiaSeguro,"obre_resource: campo EM_Ovjch_Seguro_Rc_Alq (seguro RC)
obre_resource: campo EM_Ovjch_N_Poliza (nº póliza)
obre_resource: campo EM_Ov_Seguro (nombre compañía)","OBRE_Resource
OBRE_Resource
OBRE_Resource",No existe tabla propia en Etendo. Todos los campos de seguro están en obre_resource. Se construyen al ingestar extrayendo esos campos de Villa.,,,,,
DISPONIBILIDAD Y PRECIO,,,,,,,,
EstadoDiaVilla,"ov_ocupacion: estado por día (libre/ocupado/bloqueado)
obre_occupancy: ocupación del recurso
opxdes_calendario: restricciones de entrada/salida, estancia mínima","OV_Ocupacion (0 filas)
obre_occupancy (0 filas)
opxdes_calendario",Abstracción: tres tablas se unifican en una sola entidad del nuevo modelo. ov_ocupacion y obre_occupancy dan 0 filas en la prueba de API — pendiente de revisar.,,,,,
PrecioTarifa,"ov_tarifaventa: precios de venta por villa y período
ov_tarifacompra: precios de compra (lo que paga Abahana al propietario)
ov_productprice: precios por producto
ov_productpriceso: precios de venta por producto","ov_tarifaventa (0 filas)
OV_TarifaCompra (0 filas)
OV_ProductPrice (0 filas)
OV_Productpriceso (0 filas)",ov_tarifaventa y ov_tarifacompra son tablas separadas. La tarifa de venta es lo que cobra Abahana al cliente; la de compra es lo que le paga al propietario. Las 4 tablas dan 0 filas en la API — revisar.,,,,,
